# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_50	22.0	8.0	48.0	123.0	187.0	178.0	0.0	0.0	0.0	23.0	24.0	0.0
ASV_352	0.0	0.0	0.0	120.0	74.0	146.0	41.0	18.0	33.0	84.0	35.0	58.0
ASV_475	0.0	0.0	0.0	0.0	0.0	0.0	112.0	41.0	91.0	167.0	79.0	116.0
ASV_410	64.0	0.0	0.0	141.0	246.0	71.0	0.0	43.0	37.0	0.0	0.0	0.0
ASV_471	124.0	28.0	174.0	0.0	196.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_404	149.0	0.0	108.0	92.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_203	15.0	3.0	41.0	47.0	157.0	50.0	20.0	14.0	101.0	96.0	48.0	0.0
ASV_259	60.0	18.0	78.0	168.0	180.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_325	0.0	0.0	0.0	13.0	0.0	9.0	10.0	0.0	0.0	468.0	0.0	84.0
ASV_414	46.0	9.0	81.0	129.0	145.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_532	0.0	0.0	0.0	0.0	0.0	0.0	100.0	67.0	97.0	173.0	40.0	99.0
ASV_446	25.0	15.0	32.0	129.0	292.0	76.0	0.0	0.0	5.0	0.0	0.0	0.0
ASV_422	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	165.0	158.0	109.0	62.0
ASV_539	0.0	0.0	0.0	0.0	0.0	0.0	182.0	53.0	80.0	177.0	0.0	78.0
ASV_513	18.0	0.0	0.0	20.0	7.0	14.0	48.0	18.0	26.0	87.0	9.0	316.0
ASV_555	53.0	0.0	88.0	106.0	131.0	69.0	38.0	46.0	27.0	0.0	0.0	0.0
ASV_354	0.0	0.0	0.0	0.0	12.0	0.0	138.0	73.0	110.0	117.0	27.0	80.0
ASV_545	7.0	7.0	5.0	93.0	115.0	16.0	99.0	39.0	73.0	67.0	23.0	13.0
ASV_96	71.0	0.0	35.0	151.0	102.0	185.0	0.0	0.0	0.0	0.0	8.0	0.0
ASV_34	72.0	0.0	74.0	104.0	66.0	19.0	0.0	0.0	0.0	196.0	19.0	0.0
ASV_235	75.0	9.0	111.0	209.0	126.0	11.0	0.0	0.0	4.0	0.0	0.0	0.0
ASV_307	0.0	0.0	0.0	0.0	0.0	0.0	158.0	75.0	110.0	43.0	67.0	89.0
ASV_504	0.0	0.0	0.0	0.0	0.0	0.0	75.0	73.0	190.0	71.0	6.0	124.0
ASV_214	0.0	0.0	0.0	6.0	7.0	0.0	57.0	30.0	57.0	197.0	63.0	117.0
ASV_319	0.0	0.0	0.0	0.0	0.0	0.0	71.0	56.0	80.0	190.0	84.0	51.0
ASV_585	0.0	0.0	0.0	0.0	0.0	0.0	106.0	22.0	68.0	240.0	31.0	62.0
ASV_20	117.0	0.0	64.0	147.0	104.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
